timestamp_utc            , domain                   , protocol, status , rcode, tls_version, cipher_suite          , tcp_connect_ms, tls_handshake_ms, query_rtt_ms, bytes_out, bytes_in
2025-11-12T01:00:19+00:00, www.sharepointonline.com , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         14.537,          156.179,       35.27 ,        44,       74
2025-11-12T01:00:19+00:00, www.hola.org             , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         26.261,          153.971,       54.446,        32,       78
2025-11-12T01:00:20+00:00, www.calameo.com          , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         26.181,          194.337,       33.144,        35,       51
2025-11-12T01:00:20+00:00, www.samba.tv             , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         34.842,          164.185,       54.789,        32,      145
2025-11-12T01:00:20+00:00, www.iikoweb.eu           , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         12.937,          161.512,       44.074,        34,       50
2025-11-12T01:00:20+00:00, www.cpi.ad.jp            , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         27.628,          153.84 ,      536.573,        33,       80
2025-11-12T01:00:21+00:00, www.register.com         , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         23.636,          174.988,       63.086,        36,       68
2025-11-12T01:00:21+00:00, www.acuityplatform.com   , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         25.152,          154.708,      126.575,        42,       58
2025-11-12T01:00:22+00:00, www.tiktokglobalshopv.com, DoT     , SUCCESS,     3, TLSv1.3    , TLS_AES_256_GCM_SHA384,         45.114,          184.733,      158.958,        45,      107
2025-11-12T01:00:22+00:00, www.anthropic.com        , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         29.09 ,          250.605,       47.278,        37,       53
2025-11-12T01:00:22+00:00, www.thoughtco.com        , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         13.658,          184.461,       41.868,        37,       69
2025-11-12T01:00:23+00:00, www.aibixby.com          , DoT     , SUCCESS,     3, TLSv1.3    , TLS_AES_256_GCM_SHA384,         53.109,          172.612,       49.038,        35,      119
2025-11-12T01:00:23+00:00, www.ifood.com.br         , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         16.599,          155.656,      110.375,        36,      147
2025-11-12T01:00:23+00:00, www.edu-servers.net      , DoT     , SUCCESS,     3, TLSv1.3    , TLS_AES_256_GCM_SHA384,         19.135,          158.299,      326.146,        39,      107
2025-11-12T01:00:24+00:00, www.mimecast.com         , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         14.169,          158.104,     1015.329,        36,      242
2025-11-12T01:00:25+00:00, www.tvinteractive.tv     , DoT     , SUCCESS,     0, TLSv1.3    , TLS_AES_256_GCM_SHA384,         15.013,          162.647,       52.859,        40,       70

